id,year,date_start,country,region,conflict_name,dyad_name,side_a,side_b,where_description,latitude,longitude,deaths_a,deaths_b,deaths_civilians,best,type_of_violence,source_headline
624586,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Burj al-Shamali - Tyre road,33.262463,35.238896,0,0,0,1,1,News bulletin: Martyr killed in motorcycle attack on Burj al-Shamali road
624431,2026,2026-03-24,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"vicinity of Al-Sawarha cemetery, north of Al-Zawaida village, in the central Gaza Strip.",31.428439,34.36595,0,2,0,4,1,Four martyrs in an Israeli bombing in the central Gaza Strip;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide;Spotlight on Terrorism – March 2026
624429,2026,2026-03-24,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Selaa in the Tyre district of southern Lebanon,33.256667,35.383889,0,0,0,4,1,"Four martyrs and several wounded in Israeli shelling of southern Lebanon, coinciding with a warning to evacuate residential buildings."
626786,2026,2026-03-24,Iraq,Middle East,Iran: Kurdistan,Government of Iran - PAK,Government of Iran,PAK,north of Erbil in Iraqi Kurdistan,36.65,44.53,0,0,1,6,1,"ROCKET ATTACKS KILL SIX KURDISH PESHMERGA FIGHTERS NORTH OF ERBIL IN IRAQI
KURDISTAN - SECURITY SOURCES;Rocket attack kills six Kurdish Peshmerga fighters in Iraq's Kurdistan, sources say;Rocket attack kills six fighters in Iraqi Kurdistan: security official;Iraqi Kurdistan accuses Iran of deadly attack against its forces;UPDATE 1-Rocket attack kills six Kurdish Peshmerga fighters in Iraq's Kurdistan, sources
say;Rocket attack kills six Kurdish Peshmerga fighters in Iraq's Kurdistan, sources say;6 Kurdish fighters killed in missile attacks in N. Iraq;Iraqi Kurdistan says Tehran said earlier strike on security personnel was 'mistake';Six Peshmerga fighters killed, over 20 injured in missile strikes on Erbil;Six Peshmerga fighters killed, over 20 injured in missile strikes on Erbil"
624765,2026,2026-03-24,Bahrain,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",,26.0,50.55,0,0,0,1,1,BAHRAIN DEFENCE FORCE SAYS UAE SERVICEMAN KILLED WHILE PERFORMING DUTY DURING IRANIAN ATTACKS- BAHRAIN DEFENSE FORCE ON X;UAE Ministry of Defence mourns Armed Forces’ civilian contractor martyred during routine mission in Bahrain
624588,2026,2026-03-23,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Shahabiya,33.2431,35.382115,0,0,0,1,1,"National News Agency: One martyr and four wounded in the raid on Al-Shahabiya, with extensive damage to a residential neighborhood; one martyr in Al-Haniya."
624587,2026,2026-03-23,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Haniyah in the Tyre district,33.1857,35.22329,0,0,0,1,1,"National News Agency: One martyr and four wounded in the raid on Al-Shahabiya, with extensive damage to a residential neighborhood; one martyr in Al-Haniya."
626785,2026,2026-03-23,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America",WESTERN ANBAR,33.0,41.75,7,0,0,7,1,"AIRSTRIKES TARGET IRAQ’S SHI’ITE POPULAR MOBILIZATION FORCES SITE IN WESTERN
ANBAR, KILL TWO FIGHTERS, WOUND FIVE - SECURITY SOURCES;Two of Iraq's Shi'ite Popular Mobilization forces fighters killed in airstrikes in western Anbar,
security sources say;DEATH TOLL FROM AIRSTRIKES ON IRAQ'S SHI'ITE POPULAR MOBILIZATION FORCES
SITE IN ANBAR RISES TO SIX, INCLUDING PMF COMMANDER IN ANBAR PROVINCE -SECURITY
SOURCES;Strike in western Iraq kills seven fighters: armed group source;Strike in western Iraq kills seven fighters: armed group source;Iraq armed group says commander, fighters killed in strike"
624474,2026,2026-03-23,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Srifa,33.28145,35.397129,0,0,0,3,1,"Ministry of Health: Two martyrs and five wounded in Sal'ata, three martyrs in Sarifa, and two wounded in Aytit as a result of Israeli raids;New: 3 martyrs as a result of the raid on Srifa, Tyre district"
625359,2026,2026-03-23,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",,27.1865,56.2808,0,0,1,1,1,Iran media says one dead in attack on broadcaster in coastal region
624801,2026,2026-03-23,Lebanon,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Hazmieh east of Beirut,33.871944,35.509722,1,0,0,1,1,"Lebanon says one killed near Beirut, as Israel says struck Iran Guards member"
623622,2026,2026-03-23,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Afrin city,36.513306,36.863656,0,0,1,1,3,Aleppo | Elderly Kurdish civilian killed after assaulting him and severely beating him by group of young men during Nowruz
623621,2026,2026-03-23,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Idlib province,35.766667,36.666667,0,0,2,2,3,Following dispute over football match | Two young men stabbed to death in Idlib countryside
623628,2026,2026-03-22,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Hama countryside,35.233333,37.2,0,0,1,1,3,Mysterious circumstances | Girl shot de*ad in Hama countryside and young man kil*led in Afrin
624428,2026,2026-03-22,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,Abu Sarar intersection in the Nuseirat camp in the central Gaza Strip .,31.447656,34.392875,0,3,0,3,1,Three martyrs and ten wounded in an Israeli bombing that targeted the Nuseirat camp in the central Gaza Strip;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide;Spotlight on Terrorism – March 2026
624427,2026,2026-03-22,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"near the old court in the Sheikh Radwan Bridge area, in Gaza City",31.516667,34.45,0,0,0,1,1,One martyr and several injuries in an Israeli bombing in Gaza City;Israel’s Ongoing Killings in Gaza Reveal a Persistent Pattern of Genocide
626648,2026,2026-03-22,Israel,Middle East,Israel: Palestine,Government of Israel - PIJ,Government of Israel,PIJ,al-Taj Tower in the al-Yarmouk area in central Gaza City,31.516667,34.45,0,1,0,1,1,Spotlight on Terrorism – March 2026
623625,2026,2026-03-22,Syria,Middle East,XXX652 - XXX652,XXX652 - XXX652,XXX652,XXX652,Al-Qobba Village in western Ain Al-Arab countryside,36.675726,38.156301,0,0,0,1,2,Security chaos | Person kil*led and others injured in family infighting in Ain Al-Arab (Kobani)
624591,2026,2026-03-22,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Al-Sawana in the Marjeyoun district,33.2325,35.44,0,0,0,1,1,Health Ministry: Four citizens killed and seven injured in raids on Sultaniyah and Sawana
624590,2026,2026-03-22,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,"Sultaniyeh, Bint Jbeil district",33.205556,35.395833,0,0,0,3,1,Health Ministry: Four citizens killed and seven injured in raids on Sultaniyah and Sawana
624593,2026,2026-03-21,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Ghandouziyeh in the Bint Jbeil district,33.27222,35.43111,0,0,0,1,1,One martyr and two wounded in a violent raid on Al-Ghandouriya at dawn today
626876,2026,2026-03-21,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America",tuzkhormatu district of Salah ad-Din province,34.803556,44.625437,1,0,0,1,1,"SECURITY & HUMANITARIAN: Strikes on PMF, Army, Peshmerga Bases Kill Dozens; NATO Evacuates Iraq Mission Personnel"
622900,2026,2026-03-21,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon.,33.197668,35.355287,0,10,0,10,1,The IDF says troops killed Hezbollah operatives and captured weapons during ongoing ground operations in southern Lebanon.
622898,2026,2026-03-21,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,town of Majdal Selm,33.223409,35.468941,0,3,0,3,1,"A senior commander in Hezbollah's elite Radwan Force was killed in an Israeli airstrike in southern Lebanon yesterday, the IDF announces.;Spotlight on Terrorism – March 2026"
624797,2026,2026-03-20,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,0,2,0,2,1,Israeli army says kills Hezbollah members in S. Lebanon
624796,2026,2026-03-20,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,0,1,0,1,1,Israeli army says kills Hezbollah members in S. Lebanon
625358,2026,2026-03-20,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",,35.696111,51.423056,1,0,0,1,1,Iran Revolutionary Guards say US-Israel strikes kill spokesman
623778,2026,2026-03-20,Syria,Middle East,XXX652,XXX652 - XXX652,XXX652,XXX652,road to Salqin city,36.138333,36.453611,1,0,0,1,1,Believed to be ISIS members | Unidentified gunmen kill member of 54th Division in Idlib countryside
623780,2026,2026-03-19,Syria,Middle East,Syria: Suweida,Government of Syria - National Guard,Government of Syria,National Guard,Al-Suwaidaa city,32.711796,36.56737,0,0,2,2,1,"Ongoing ceasefire violation | Grad rocket hits civilian home in Al-Suwaidaa, leaving two people injured and causing major damage"
623782,2026,2026-03-19,Syria,Middle East,Syria: Suweida,Government of Syria - National Guard,Government of Syria,National Guard,Barad village in the southern countryside of Al-Suwaidaa,32.50939,36.54259,0,2,0,2,1,"Fierce clashes in Al-Suwaidaa | Two killed, three injured and four other captured"
626783,2026,2026-03-19,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America","31st Brigade in Iraq's central Salahuddin province, military airbase in the Tuz Khurmatu area",34.927192,44.499762,1,0,0,1,1,"2 Iraqi paramilitary members killed in U.S.-Israeli airstrikes;2 Iraqi paramilitary members killed in US-Israeli airstrikes;Strike kills fighter in northern Iraq: ex-paramilitaries;Iraqi paramilitary member killed in U.S.-Israeli airstrike;SECURITY & HUMANITARIAN: U.S., Iran-Backed Militias Exchange Attacks as War Spillover Intensifies"
622715,2026,2026-03-19,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"near Al-Shawa Square in the Al-Tuffah neighborhood, and Kashko Street, east of the Zeitoun neighborhood.",31.516667,34.45,0,0,0,3,1,Three martyrs and one serious injury in an Israeli bombing east of Gaza City;Gaza civil defence says Israeli strikes killed four
626782,2026,2026-03-19,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America",Nineveh region,36.166667,42.583333,2,0,0,2,1,"Strikes kill two fighters in northern Iraq: PMF;2 Iraqi paramilitary members killed in U.S.-Israeli airstrikes;Strikes kill two PMF fighters in northern Iraq amid wider war, group says;AIRSTRIKES ON IRAQI PEOPLE MOBILIZATION FORCES HEADQUARTERS EAST OF
MOSUL KILL ONE AND WOUND THREE - SECURITY SOURCES"
623779,2026,2026-03-19,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Qasmeen village in Lattakia countryside,35.566667,36.033333,0,0,1,1,3,Security vacuum | Gunmen storm doctor’s clinic in Lattakia countryside and shoot him to the head
624598,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Qlaiaa town,33.32814,35.561117,0,0,1,2,1,"Two martyrs as a result of artillery shelling on a house in Qlaiaa and Israeli raids targeting Kafr Tibnit, Harouf and Kafra"
624596,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Islamic Health Authority in the Bir al-Salasil neighborhood in the town of Khirbet Selm in the district of Bnant Jbeil,33.22931,35.42407,0,0,0,2,1,"Two martyrs and several wounded in the Israeli raid on Khirbet Selm and raids on Wadi Zibqin, Al-Jumaymah and Zifta"
624607,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Sidon,33.559932,35.375636,0,0,1,2,1,"Ministry of Health: Two martyrs, including a paramedic, and a citizen injured as a result of the raid on a car in Sidon"
624594,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,southern Lebanon,33.197668,35.355287,0,8,0,8,1,The Israeli army claimed to have targeted 20 Hezbollah members and destroyed buildings belonging to the group within 24 hours in southern Lebanon.
626781,2026,2026-03-18,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America","western province of Anbar, al-Qaim district near the Iraqi-Syrian borde",34.368367,41.162221,3,0,0,3,1,"Three Iraqi fighters killed in strike near Syria border: PMF;3 Iraqi paramilitary members killed in U.S.-Israeli airstrike;SECURITY & HUMANITARIAN: U.S., Iran-Backed Militias Exchange Attacks as War Spillover Intensifies"
622708,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Nabatieh area in the south of the country,33.37717,35.48383,0,0,0,3,1,Martyrs and wounded in Israeli raids on various areas in Lebanon
622713,2026,2026-03-18,Lebanon,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,city of Sidon,33.559932,35.375636,0,1,0,2,1,"Lebanese Health Ministry: Death toll from Israeli aggression rises to 968, with 2,432 wounded; Israel eliminates 3 Hamas members operating in Lebanon;Spotlight on Terrorism – March 2026"
626948,2026,2026-03-18,Israel,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Tel Aviv's suburb of Ramat Gan,32.083333,34.816667,0,0,2,2,1,"TWO PEOPLE KILLED WITH SEVERE SHRAPNEL INJURIES FOLLOWING ROCKET FIRE
TOWARD ISRAEL -NATIONAL AMBULANCE SERVICE MDA;Two killed near Tel Aviv after Iranian missile launches: Israeli medics;Iran fires cluster munitions at Israel: Elderly couple killed in Tel Aviv suburb"
622717,2026,2026-03-18,Israel,Middle East,Iran - Israel,Government of Iran - Government of Israel,Government of Iran,Government of Israel,town of Beit Awa,31.508583,34.950267,0,0,4,4,1,"The death toll from rocket shrapnel in Beit Awa has risen to 4, including a pregnant woman.;Humanitarian Situation Report | 27 March 2026;Four Palestinian women killed during Iranian missile attack in West Bank;AT LEAST TWO WOMEN KILLED AFTER IRANIAN MISSILE ATTACK NEAR HEBRON, SAYS
PALESTINIAN RED CRESCENT;At least two women killed in Iranian missile attack near Hebron, Palestinian Red Crescent
says;Three killed in West Bank after Iran missile launch: Palestinian Red Crescent;4 Palestinian woman killed in West Bank after Iran missile launch"
624788,2026,2026-03-18,Israel,Middle East,Iran - Israel,Government of Iran - Government of Israel,Government of Iran,Government of Israel,"Sharon area, just north of Tel Aviv",32.315004,34.934815,0,0,1,1,1,Thai worker killed in Iranian strike on Israel  Please credit and share this article with others using this link: https://www.bangkokpost.com/thailand/general/3220038/thai-worker-killed-in-iranian-strike-on-israel. View our policies at http://goo.gl/9HgTd and http://goo.gl/ou6Ip. © Bangkok Post PCL. All rights reserved.;Thai Worker Killed in Overnight Iranian Strike in Central Israel Identified as Chaiwat Vallnil;ISRAELI MEDIA SAYS ONE PERSON KILLED BY SHRAPNEL IN SHARON REGION;Thai worker Chaiwat Vallnil killed in overnight Iranian strike in central Israel
622710,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Zuqaq al-Balat in central Beirut,33.871944,35.509722,0,0,2,12,1,"Lebanese Health Ministry: Death toll from Israeli aggression rises to 968, with 2,432 wounded;Israeli strikes on central Beirut kill 12: ministry;Hezbollah's Al Manar TV says one of its directors killed in Israel's Beirut strike"
624616,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Jebchit in the Nabatieh district,33.365364,35.432621,0,0,0,4,1,"The Ministry of Health announced that 11 people were killed and a number of others were wounded and missing in the initial toll from the raids on Baalbek, Jebchit and Haboush."
622712,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Ras al-Ain neighborhood in the Bekaa,33.8333,35.8333,0,0,0,4,1,"Lebanese Health Ministry: Death toll from Israeli aggression rises to 968, with 2,432 wounded"
624597,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Deir Zahrani in the Nabatieh district,33.43325,35.46174,0,0,0,2,1,"Two martyrs and seven wounded in an airstrike on a building in Deir al-Zahrani, and injuries in an airstrike on a health authority point in Khirbet Selm."
625198,2026,2026-03-18,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Tehran,35.696111,51.423056,1,0,0,1,1,"Israel says killed Iran's intelligence minister;Iran president confirms intelligence minister killed in strike

CR 

Source: X (formerly Twitter) in Persian 1409 GMT 18 Mar 26"
624615,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Baalbek,34.01,36.22,0,0,0,4,1,"The Ministry of Health announced that 11 people were killed and a number of others were wounded and missing in the initial toll from the raids on Baalbek, Jebchit and Haboush."
624614,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Haboush in the Nabatieh district,33.407423,35.478588,0,0,0,3,1,"The Ministry of Health announced that 11 people were killed and a number of others were wounded and missing in the initial toll from the raids on Baalbek, Jebchit and Haboush."
622707,2026,2026-03-18,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"near Al-Aqsa University, west of Khan Younis.",31.344444,34.303056,0,1,0,1,1,One martyr and several wounded as a result of the occupation's bombing west of Khan Younis;Spotlight on Terrorism – March 2026
624612,2026,2026-03-18,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Sahmar in the Bekaa Valley,33.521012,35.689535,0,0,0,2,1,Ministry of Health: Two martyrs and six wounded in an Israeli raid on the town of Sahmar in the Bekaa Valley
623783,2026,2026-03-18,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Wady Al-Zahab neighbourhood,34.726818,36.723391,0,0,1,1,3,After being missing for 48 hours | Body of Alawite young man found in Homs National Hospital
623784,2026,2026-03-17,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Al-Diyabiya Village in southern Al-Qasir countryside,34.48099,36.63176,0,0,1,1,3,Security chaos | Alawite civilian shot de*ad by unidentified gunmen in Al-Qasir countryside
623787,2026,2026-03-17,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Wadi Bardi area in Rif Dimashq,33.62,36.13,0,0,1,1,3,Security vacuum | Former member of 4th Division killed in Wadi Bardi in Rif Dimashq
624716,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Bint Jbeil in southern Lebanon,33.12,35.43,0,0,0,3,1,"Raids on Taybeh, Aytit, Touline, and a cooperative on the Burj Qalawiya-Ghandouriya road; 3 martyrs in a raid on Bint Jbeil"
624595,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Beirut,33.871944,35.509722,0,1,0,1,1,The Israeli army claimed to have targeted the commander of the Imam Hussein Brigade yesterday in Beirut.
624715,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Jmeijmeh in the Bint Jbeil district,33.206269,35.440871,0,0,0,2,1,"The National News Agency reported that ""two martyrs fell as a result of an Israeli raid that targeted the town of Jmeijmeh in the Bint Jbeil district in southern Lebanon.""   Israeli warplanes also carried out a raid on the town of Zibqin in the Tyre district, and another between the towns of Qusaybah and Abba in the Nabatieh district, while intermittent Israeli artillery shelling targeted the Aita al-Shaab and Ramiya axis in the central sector."
625196,2026,2026-03-17,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Tehran,35.696111,51.423056,2,0,0,2,1,Israeli military says it killed the head of the Iranian Revolutionary Guards' all-volunteer Basij force;Urgent: Israeli army says killed Iran's Basij Commander in Tehran strike;Israeli army says Basij intelligence chief killed in Tehran strike
624714,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,airport road,33.871944,35.509722,0,0,0,1,1,Ministry of Health: One martyr and nine wounded as a result of the Israeli raid on the airport road
624713,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Zibdin - Nabatieh road,33.37472,35.46306,0,0,0,2,1,The army mourned three soldiers who were killed in Israeli airstrikes on the Zabdin road and in Qaqaiyat al-Jisr.
624712,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Qaqaiyat Al-Jisr area - Nabatieh,33.3275,35.430278,0,0,0,1,1,The army mourned three soldiers who were killed in Israeli airstrikes on the Zabdin road and in Qaqaiyat al-Jisr.
623785,2026,2026-03-17,Syria,Middle East,Syria: Islamic State,Government of Syria - IS,Government of Syria,IS,Al-Safira area in eastern Aleppo countryside,36.07696,37.372512,2,1,0,3,1,IS*IS resurgence | Four members of customs police kil*led and injured in Aleppo;Member of IS*IS and two government members kil*led | IS*IS claims responsibility of attack on patrol of customs police in Aleppo
624619,2026,2026-03-17,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Ghaziyeh- Sidon district,33.518629,35.366317,0,0,0,3,1,Health Ministry: 3 martyrs and 5 wounded in the Israeli raid on Ghaziyeh
625197,2026,2026-03-17,Iran,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",,35.696111,51.423056,4,0,0,4,1,"Iran's Larijani, the man whose power grew during Mideast war;Iran confirms death of security chief Larijani"
624764,2026,2026-03-17,United Arab Emirates,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Capital's Bani Yas area,24.45118,54.39696,0,0,1,1,1,Abu Dhabi confirms death of Pakistani expat after shrapnel falls in Bani Yas area
622706,2026,2026-03-17,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,Mawasi area of ​​Khan Younis.,31.34822,34.256182,0,1,0,3,1,"Two martyrs and ten injuries arrive at Al-Mawasi field hospital as a result of the bombing of a vehicle in Mawasi, Khan Younis;Spotlight on Terrorism – March 2026;For the fourth day... intensive Israeli assassinations within the ranks of ""Al-Qassam"""
625195,2026,2026-03-16,Iran,Middle East,Iran: Government,Government of Iran - Jaish al-Adl,Government of Iran,Jaish al-Adl,Taftan County,28.333611,60.633333,5,0,0,5,1,"Six killed in 'terrorist' attack on police patrol in south‑east Iran

CR 

Source: Tasnim news agency, Tehran, in Persian 1122 GMT 16 Mar 26"
623789,2026,2026-03-16,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Hayan junction (formerly known as Kozal junction) in northern Aleppo countryside,36.32417,37.05886,0,0,1,1,3,Security chaos | One Shiite kil*led and others injured in attack on taxi in Aleppo
624762,2026,2026-03-16,United Arab Emirates,Middle East,"Iran - Israel, United States of America","Government of Iran - Government of Israel, Government of United States of America",Government of Iran,"Government of Israel, Government of United States of America",Abu Dhabi's Al Bahyah district,24.45118,54.39696,0,0,1,1,1,"UAE says 7 killed in Iranian missile, drone attacks since Feb. 28"
623786,2026,2026-03-16,Syria,Middle East,IS - Civilians,IS - Civilians,IS,Civilians,Theban town in the eastern countryside of Deir Ezzor,35.0025,40.5117,0,0,1,1,3,Believed to be members of IS*IS cell | Unidentified gunmen kill young man working in oil business in eastern Deir Ezzor
626937,2026,2026-03-16,Israel,Middle East,XXX666 - XXX666,XXX666 - XXX666,XXX666,XXX666,tira,32.233546,34.950256,0,0,0,1,2,Arab Israeli shot dead as killings continue during Iran war
622705,2026,2026-03-16,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,near the town of Sinjil,32.033056,35.264167,0,0,0,0,1,A boy was killed and another injured near Sinjil in the Ramallah governorate.;Spotlight on Terrorism – March 2026
624718,2026,2026-03-16,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Kafr Sir,33.326299,35.401437,0,0,3,3,1,"""Al-Akhbar"": Three paramedics from the Islamic Health Authority were killed when they were targeted while removing rubble following an airstrike on Kafr Sir."
623790,2026,2026-03-16,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,Al-Mohajreen neighbourhood in Homs City,34.726818,36.723391,0,0,1,1,3,Using several gunshots | Alawite young man shot de*ad inside his house in Homs
624717,2026,2026-03-16,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Yater,33.15417,35.33028,0,0,1,1,1,"One martyr and one wounded in an Israeli raid targeting a ""Islamic Health Authority"" paramedic point in Yater"
626780,2026,2026-03-16,Iraq,Middle East,XXX645,"Government of Iraq - Government of Israel, Government of United States of America",Government of Iraq,"Government of Israel, Government of United States of America",Baghdad’s Jadriyah,33.340582,44.400876,6,0,0,6,1,"Four killed in Iraq’s Baghdad as US forces, Iran-backed groups trade fire;TWO AIRSTRIKES TARGET HOUSE USED AS HEADQUARTERS BY POPULAR
MOBILISATION FORCES IN BAGHDAD’S JADIRIYA AREA, AT LEAST TWO KILLED - SECURITY
SOURCES;Strike on Baghdad house kills at least two: security official;Baghdad house strike kills four: security official;Urgent: At least 6 killed in airstrike on house in Iraq's Baghdad;1st LD Writethru: 6 killed in airstrike on house in Iraq's Baghdad"
623788,2026,2026-03-16,Syria,Middle East,XXX652 - Civilians,XXX652 - Civilians,XXX652,Civilians,agricultural lands south of Ezz Al-Dein Village in eastern Homs countryside,34.466667,38.3,0,0,1,1,3,After being reported missing | Young man found killed in mysterious circumstances in Homs
622704,2026,2026-03-16,Israel,Middle East,Israel: Palestine,Government of Israel - Hamas,Government of Israel,Hamas,"Al-Safatawi neighborhood, north of Gaza City.",31.516667,34.45,0,1,0,1,1,One martyr and several wounded as a result of the occupation's bombing of a group of citizens in northern Gaza.;Spotlight on Terrorism – March 2026
624720,2026,2026-03-15,Lebanon,Middle East,Israel: Southern Lebanon,Government of Israel - Hezbollah,Government of Israel,Hezbollah,Qatrani,33.44083,35.60417,0,0,0,3,1,"14 martyrs in the toll of raids on Haret Saida, Qatrani, and the nuns' quarter in Nabatieh, and an Israeli raid that targeted an apartment in the Sharhabil area"
